image_path;label;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199
processed_data\train\Sesameseeds\73.jpg;Sesameseeds;49.595203;-7.826228;-8.703217;1.1969811;11.095676;5.4292526;-16.451015;3.3061435;4.7382746;-7.470714;10.546045;3.269092;-9.550502;-0.50407475;1.7202914;5.1609774;0.047654837;2.6782105;-4.2459793;-4.06649;-1.524095;2.4944534;-3.7945366;-5.8965735;-5.1062837;-0.7671406;7.4405265;3.2760515;3.3545868;5.3584766;0.6110886;-1.378139;2.3190236;1.9725269;-0.83740836;-5.8722043;4.0947394;-1.0168121;3.415707;-2.7181783;-0.11527646;3.000552;1.0091342;1.1467409;1.0190965;-0.083151415;-7.071106;0.24533351;-0.8001272;0.87435997;-2.9045217;-5.1831803;-5.4846;2.4225159;-2.5145974;4.276779;4.3339796;0.10599717;-2.1514428;-0.08669747;-4.334551;1.0620654;-0.7946296;-0.65558773;2.019243;-3.434969;-1.9822676;-2.4043462;0.20330414;0.52887017;3.4174335;2.0754063;-3.9176977;0.7492344;1.886817;5.6389856;1.5373112;0.94261533;5.091695;0.6709549;-1.4963055;2.7177682;0.019143967;-1.4841622;2.4915116;5.7924485;-2.8788562;-2.6056566;4.557892;0.34686998;4.742366;0.82748675;5.616657;1.9398428;-1.160225;-1.1395975;2.5637102;-0.85471785;-0.3210501;-3.0586936;1.4306016;-1.327235;-3.7807267;3.4426942;1.0945884;-1.990214;-2.5776963;2.0688684;-3.5917752;1.3533963;-2.8509188;0.36831865;0.39531;-1.1830407;3.6032634;-4.588885;-6.1692085;1.0231162;0.42270657;-2.6971316;-5.12107;0.5212985;0.6285753;-0.769206;0.11640163;3.1884637;-2.6280456;1.9798584;2.007343;0.6655042;-1.1121204;-0.49413994;-0.44420078;7.2979655;-0.09814557;-2.5377188;-2.6733308;1.463508;4.531717;5.3046017;1.8823037;3.7701561;-0.37519133;-3.760493;1.9175224;-0.47110373;3.403182;-1.0656345;0.7756935;-6.2039175;-2.5270064;3.18088;-0.40841553;3.7891712;1.23066;0.25630268;1.8287424;-0.6380379;0.5759525;-4.0511765;-1.1881742;-1.6573107;-6.784901;4.1625805;-0.6822232;-1.0863694;1.972818;4.458308;-0.059060775;-0.36036217;3.2331598;2.8949034;-0.5544677;-0.6709642;-0.27912444;-1.7356552;-1.9701355;1.4973842;-3.5019763;-0.62987334;-0.9101464;3.480492;0.8054493;-0.26058573;0.43731847;2.7661507;3.4752207;-2.5730245;0.66637987;1.821723;-3.5681267;0.5497684;0.13280411;-2.0141773;2.6118567;-3.2169046;2.065679;0.18982217;-5.889459;4.092772
processed_data\train\Sesameseeds\59.jpg;Sesameseeds;70.343765;6.7818017;-21.950733;-6.333318;2.8149495;4.5906005;-1.5356082;-8.164867;-3.6117299;1.2751755;-5.2778974;0.8904295;10.626104;3.0322967;0.7696568;-3.608253;-3.5307481;4.6372933;2.0444393;-0.24535832;4.884329;4.30063;6.551781;-2.6339402;-1.7641402;2.8546576;-1.0871282;-0.022910899;1.5389079;-2.137246;1.4182712;-4.468335;-4.2617974;-2.5803657;-4.106696;2.9830534;-8.130776;-3.9177287;-3.6040301;1.5572828;3.5658083;3.068818;0.7820621;2.2845914;-5.4072967;2.811182;5.2473245;2.6584828;0.29536074;2.1745007;0.7960766;-0.23546839;-2.5901632;-0.21371652;2.1198885;-1.4650372;-1.3836108;3.3863814;3.0400984;4.898141;4.4819827;0.07148663;-0.01388117;-5.62773;-3.658373;3.182948;1.5423598;-1.942922;1.7455137;-0.020998608;2.129703;3.6085165;0.36550894;-0.8680836;0.14418657;0.3770716;-6.9153795;-0.4487566;0.052375283;4.020482;-2.5372312;-3.3291137;-1.052773;-3.3204708;0.73902935;-0.87286896;-0.016428009;-0.5553979;2.6021042;0.9313588;-2.4845626;6.6493797;-1.026352;3.5943363;-5.5956035;1.3578478;5.236493;-0.75582594;-2.7795224;-1.0618097;0.56312287;6.2531066;-5.9132514;-6.3549123;1.203491;2.6140888;-2.5272713;-3.1475728;-2.334036;-0.8324155;-2.113522;-2.6884277;-2.3479538;0.049599368;5.849284;0.35548082;-0.7547836;-4.7274466;-0.41861;0.53972644;-1.0232984;-2.7304053;-3.8571606;0.108504586;-4.6644273;-2.00776;1.7645878;-1.6414568;1.1370863;5.1531262;3.7879844;-0.99639595;-3.513883;3.425873;-3.3581243;0.38229093;0.61279213;2.644184;0.8402933;3.6650014;-2.736124;0.68008876;-3.8976834;4.0539384;2.9811926;-1.1989245;-4.406461;4.0379176;-0.4673342;-0.47607833;2.8801856;-0.11695233;-1.991113;2.5384219;-2.2621772;1.4419383;-0.84245205;-2.7442;-3.6678224;2.7551315;0.7014091;4.2510543;-2.6513722;-1.5629395;0.6494213;-1.9440771;-0.30259857;0.7681926;-0.3997376;-1.9446368;-0.24987848;-0.420907;-2.6058412;2.0549514;-3.94607;4.838864;0.55758756;2.0250833;1.160626;1.0224301;4.1813064;7.3524885;-1.3115866;0.35318294;6.1107197;2.5459359;-1.1738397;0.5144506;4.0889716;-1.0980744;-2.5305424;3.993066;1.5780556;-1.159545;-2.1148477;-0.5676412;0.82758874;-0.4462392;0.39136055;0.99796385
processed_data\train\Sesameseeds\81.jpg;Sesameseeds;53.026787;2.2376957;-17.065125;14.428803;-1.010697;-5.466755;7.000307;1.0737728;2.1661294;-2.0256648;1.2871783;-5.5477014;2.1176548;6.2478213;2.3269763;2.0125244;-4.510445;-0.9301067;-4.5421724;-3.485365;-2.7735345;2.532127;1.1513374;0.5782206;6.649461;6.428834;-4.716292;-0.39721158;1.2704345;-1.3204434;-3.9099247;2.6401846;1.5884995;0.7893524;0.01954239;0.083402306;-3.4277887;-0.580655;-3.9765856;1.8528981;-3.356645;7.4542904;2.2809293;-1.6872323;-5.1159234;-0.98480314;-2.1158345;0.61405635;-1.4403086;1.024316;-5.600679;0.09528546;5.844901;4.360456;-3.8576462;-5.620652;4.4939413;-3.2760646;2.1215506;3.239435;-5.1459017;-2.2854316;-1.755842;5.572117;0.52035815;-2.8770766;-1.1755464;8.254326;-3.4141762;-1.9533532;-1.4155295;4.7118487;-0.46394655;-2.6018245;-4.292222;-4.7840495;0.09285742;5.0474977;0.6662554;0.07613401;3.797741;-0.8274378;-3.2695675;1.6712567;-1.9896061;1.7411258;0.5963539;-2.9109495;0.24265122;1.2337618;-1.3276697;1.7843049;-2.1261191;-2.096831;-2.1574152;-2.949274;-3.6193879;-2.3181593;2.7259717;1.7225177;3.12743;-1.523558;-3.5028477;0.72784674;2.4642904;-0.39149004;-0.6492462;0.43795338;-2.9650097;-0.4885402;-1.6272199;4.468943;0.99209696;-3.9291553;-0.9019896;2.6467097;-0.24038993;-1.8917302;-2.571383;3.9352336;-0.06339909;-0.93280506;1.3455129;4.5281873;0.8486259;2.858179;2.835828;1.7625358;4.276713;4.7778325;-0.8163809;-1.3127221;-0.23492865;0.6663278;2.722695;-3.6317563;-0.0624392;-4.351629;0.07651503;0.06761343;1.2774053;-2.1061347;-0.6625733;5.821988;-2.8100064;-2.993876;-2.2466643;1.2650815;0.9245029;0.4277132;-0.05645687;1.9438586;-0.70925665;3.1354952;-2.2235954;-5.245597;1.5024604;-0.38080993;1.1308687;1.5259509;-0.57685703;1.0684016;-1.4905853;-1.1610985;3.9238353;3.5846434;-1.0564096;0.30767712;-2.4523704;-3.842616;1.4978304;1.8946954;-0.19253099;0.534277;0.3738677;-2.5865943;-1.9536644;-0.75872767;3.6990983;-2.403122;3.2444665;1.5449721;1.1635829;1.2934252;-0.8679829;0.17303438;2.26897;-0.55298626;-0.92621356;1.9637256;-1.5024678;-2.511282;2.4188905;1.1862642;-2.7937672;-3.0219145;-3.0877683;-0.0029166297;3.0830228;-1.1602635
processed_data\train\Sesameseeds\19.jpg;Sesameseeds;70.172104;2.9874718;-11.643482;-14.613917;-2.132518;-3.8183882;6.9238667;-7.53537;-7.038748;0.59734684;-1.0460346;-0.45273876;1.016322;3.34821;-0.9952161;4.1734447;-4.4463525;1.2625682;-3.3448193;4.2022667;1.2835968;0.7647773;-1.1303352;-1.7306771;5.331487;3.033835;1.1078231;-0.300674;-3.5432658;-0.22656102;2.4216008;-2.8730328;-3.2492476;3.580062;-1.1305687;1.9329997;1.279462;-2.1131425;-1.1702217;-5.7171826;-0.066563934;-0.9092802;-4.222535;-3.6988516;-0.5871966;-0.52287424;-0.6740424;-5.9010215;-0.64029324;0.49286312;3.761656;1.1398782;1.264285;-6.045461;1.286685;1.6681383;1.1186552;-4.2310066;4.1911817;4.9562864;-4.3198185;-3.1262088;-0.38077006;-1.2713484;-3.0979328;-1.8727907;-2.5490456;0.8295836;-0.5364986;-4.245912;0.9414292;-1.8532071;-3.938218;1.572174;2.9369605;1.226281;4.8034105;0.23116659;3.0969026;-1.9860039;-5.071145;2.6802878;-1.0072142;-4.4024477;4.1899004;-1.8957031;-5.150207;1.027926;-2.5253515;2.0590322;2.7963452;3.6247294;-0.90989184;-7.4145803;5.3073554;-1.586636;0.6183878;-0.27817717;0.5358954;-1.7666347;-0.89947146;1.2259954;2.0859425;-4.0609665;1.1469598;1.5051066;2.8836894;0.8003711;-3.4602087;-4.2686057;1.135629;0.7211961;-0.41671297;-1.7217771;-3.7648842;-2.5454514;-0.65740746;-1.5911036;6.8444424;4.2971396;0.30799332;0.7720248;1.7317356;1.3424282;4.971991;-0.00096850115;3.1987212;-0.28731924;-2.4939382;2.2870543;-0.586387;-1.6697702;-2.546386;-0.72905;0.47510698;0.846554;-4.9329176;2.9645953;0.13505147;-3.6652458;0.22425558;0.8712819;0.67699295;1.8433617;3.2864356;-1.9277159;-0.12955229;1.2014452;-0.95912826;2.6882265;-0.11387819;1.1633984;1.1461916;-1.2831895;-1.4094201;3.6894066;2.2929626;-2.6949244;-4.0251117;-2.8351727;-1.7883353;-0.7755397;3.6754944;-2.0579367;1.8111398;-3.5359488;0.083180666;-1.6285787;-0.081905656;1.1033428;-5.8405914;0.37941393;0.57651705;-0.44400346;2.5849535;-2.2588456;1.3200759;-1.8885059;3.127998;-2.015199;0.047390684;0.94938594;-2.1219347;-0.7364307;0.5387829;3.3169703;0.41468793;-2.9168725;0.6499877;1.3253692;0.44236055;1.8446103;3.4108264;-3.465185;4.7042246;2.9565008;0.18416336;1.0458463;2.6985478;1.5317848
processed_data\train\Sesameseeds\149.jpg;Sesameseeds;68.002884;1.2738727;-11.43136;-6.387906;-9.076435;-5.992455;9.455552;0.7662639;2.884101;6.3970237;-5.8886604;-2.9830978;-0.69991785;1.3680971;-5.763291;-2.642148;-4.9468837;0.69664085;2.0206435;-8.010847;5.4552684;-2.2221766;-4.7589974;2.732261;-5.914219;3.8530314;1.3452792;-5.5446825;-2.412389;2.6510506;-0.14776653;3.2102134;-1.6160436;-4.3369584;-1.5729846;1.8436716;2.995748;-5.024415;1.2289886;-3.7235184;-3.42298;-3.5555089;-7.9475827;0.06638787;0.81012255;8.075072;-5.172463;-2.6360362;3.0345845;1.1586968;-3.958129;-1.4794924;0.25374553;-3.685035;-8.761146;-0.92197394;4.012859;-3.8524184;-2.3361707;-3.157542;1.0774335;2.7021978;4.782427;1.2538544;2.7652402;0.25033373;4.6694837;-0.41478303;-1.302541;0.48491266;-5.630624;-3.1432154;0.9306984;2.5150154;4.0031514;5.4992023;1.8915223;-5.1482005;-0.58616453;-0.6938603;-0.6148119;-2.6436512;4.073417;4.4070225;1.1214952;-2.3003025;0.306742;-1.6209055;-4.4017057;-0.8638814;-0.18063469;5.066929;0.56937873;1.8396527;3.7341523;0.07548433;2.8333285;1.8998481;0.81309575;-1.3357122;-2.749887;0.89183736;-2.290824;-5.756043;-0.518177;-2.9255593;0.112369135;0.694687;0.33220357;0.39080083;2.1828852;1.6488093;-2.0037022;2.9506595;-0.6114646;3.910017;1.7644715;1.0625066;0.7340892;2.687995;-0.35113496;-0.47401994;1.7325978;-0.059294455;-0.39249456;0.67911714;-0.053406525;4.8362427;-0.78464067;-1.7124182;1.7732593;0.5117815;4.970665;-0.78057307;-0.42123;-0.78268087;0.4969698;-0.6825837;4.3123136;-5.106266;5.2672195;2.8883712;-2.2868497;-2.5920842;2.9095612;-7.934679;0.86747825;1.0752342;-1.0243454;1.9983132;-3.5147512;-2.4980073;2.4241912;-0.72401726;-0.51551557;3.7876139;1.8664356;-1.2577577;-0.6575662;3.6106102;0.040504426;1.4694428;-1.9518839;2.196637;-2.406461;-1.3752568;-4.3967547;0.9633625;3.22425;-1.1430808;-0.8880856;-0.32893506;3.3826;0.021275496;0.7680403;2.3354414;2.2969186;-0.7731589;3.5950248;-1.4215481;2.0640087;2.8688877;1.1428077;5.0335374;5.991877;-0.81984144;-0.17916365;2.188067;-0.63410646;1.2172965;-4.0318813;4.9089694;-4.293514;1.9079046;-0.61330485;-2.8393066;-1.1977795;0.02010559;-1.6607424;4.1902394
processed_data\train\Sesameseeds\87.jpg;Sesameseeds;45.47554;3.356116;-7.260232;11.237555;19.484844;1.580861;-7.6994925;3.6094306;5.7796025;-2.9900513;6.2585855;-3.415187;-10.453871;0.0067217355;0.901977;1.6234657;-0.17268312;-6.2790747;2.3685982;-4.4396577;-0.57074773;-0.07908908;-5.2618575;-1.1789948;0.6096357;-3.7179282;-4.4947233;-1.5067589;3.3865607;-0.012025811;5.258917;3.705814;-0.6677835;1.0740788;3.318915;-1.376774;-1.6605821;-5.6157856;1.4522537;-0.16988286;-4.0807614;1.0010847;-1.4008092;0.31603506;-1.8314165;-0.929195;1.9914852;0.19078755;-5.590861;1.4946398;1.562536;2.2770827;-5.2271214;-1.5152324;-2.190499;-0.3437542;1.2029258;8.697849;-1.5824878;-1.7318043;0.27922884;-3.5840006;-3.8868835;0.99658585;5.778375;-2.102168;-0.8842179;7.206089;-4.5749125;2.7117918;1.7390383;-1.7588489;-0.29866186;1.4952495;3.9266179;-0.3853561;2.2599802;5.3693314;-1.336572;3.2718232;-2.0716717;5.4391513;0.7925778;2.7850146;4.9164586;-2.2750537;1.6633645;-0.057465322;-2.2838464;-0.11170124;-0.2469613;1.0564414;-5.4305887;0.9245268;-0.8402791;-1.1576306;-4.980727;-2.7955148;1.872008;3.8718865;4.7728496;-1.5494353;-3.3440354;0.120502405;-4.4254093;-1.9090792;-1.9864672;-1.8059943;1.8221244;-1.4066776;-10.956665;1.9468641;-2.2922509;1.6530315;2.5906708;-2.8062165;-2.8681896;-2.189369;4.0480366;-2.008552;-0.44291046;0.94819856;-0.77188045;2.8733108;1.7686563;-1.5751928;-3.8537922;-1.8005424;3.2610767;-0.02118094;0.43910247;-1.1918006;-2.0779183;2.3224266;0.4446999;-1.0134087;-0.55924255;-3.0634577;-3.204259;0.954797;1.5389829;-1.4244725;3.9268486;1.1370872;-0.69578767;-3.1483366;-0.1742789;1.2374389;7.5446925;1.221116;-0.20441574;-3.6996872;-1.4321897;0.8393388;-0.08027216;-0.11773103;2.2515256;-5.1928134;2.8356967;2.7930067;-0.5116489;-0.90009916;3.7580137;-1.5989497;-0.47738546;-0.23530997;0.17336999;2.990669;-0.45160326;-1.054621;-5.906691;-1.956053;-2.5924983;1.7220067;2.0289736;0.3888133;-2.4053514;5.46801;1.5294371;-1.7309136;0.025479492;0.26573965;-2.817652;4.694783;1.9333544;-5.494479;2.0920784;-2.4969003;-0.81234944;0.61988133;3.608466;3.8181853;0.3719769;3.5020158;-5.7113595;2.2027304;3.9932396;3.289734;-1.3852968;-0.66587293
processed_data\train\Sesameseeds\95.jpg;Sesameseeds;53.874954;4.5144215;-11.174699;16.547585;23.509098;-9.964722;-7.231797;6.9959927;-2.0638945;-7.3091826;-5.9007907;4.1773615;-6.795914;-5.4601827;0.8246007;3.8117392;-4.903462;-2.0841393;1.9512715;-6.1585555;1.3294405;6.876272;-1.9562501;-5.9535203;4.624555;-0.70174426;-0.9163477;1.8281095;-2.1726768;4.6679792;6.722133;0.92440087;0.8010454;1.6742388;-5.6815977;2.3027363;1.7680267;0.91481435;-4.0752196;-0.08287017;-1.9429559;-0.62251455;1.2082425;4.15212;3.660668;2.2078583;3.8092766;9.8141165;-0.370875;-0.25125572;-3.1423023;-9.151104;1.8136448;-6.1614165;-1.2580233;3.3152783;1.551322;-0.44051266;-9.014492;-3.1353538;-2.588123;2.126231;-2.2319;-3.5040271;-1.8970249;-0.6582924;1.5506333;-0.8058676;2.8028824;3.1886995;-3.3118339;-1.6951078;2.6671913;5.4673915;-3.0145376;6.8769364;-1.7347181;0.18143821;2.0815997;3.1232004;2.4377394;-0.41163957;-3.926802;1.9748743;-1.9066197;1.9282033;4.6195993;-0.67076945;-3.492695;8.629545;2.6229239;-3.5244017;-0.042435143;-6.4647202;0.49186406;2.1653383;0.50625443;3.6044126;3.1078672;0.40652043;3.4345136;-0.6351267;-1.0933028;-2.7266684;3.9409542;-1.9280376;0.2827896;0.9659306;-3.5178995;0.9561702;0.52693504;-5.5131254;0.25628555;1.2718354;0.7118322;2.560867;-0.379636;-0.17399436;-2.3988068;-0.7514009;4.098592;-1.3266181;-1.9358672;-0.18493229;0.83081585;2.8792856;0.2441005;3.48826;-2.070756;-2.1364853;-3.2494168;4.200643;-1.290141;2.7887516;2.8096511;0.7790115;-4.396786;6.500493;5.7247353;-3.9256413;-0.059611227;1.3897576;-2.3615525;-1.9887519;-1.7974539;3.8725946;1.2512149;-0.53478986;-5.025073;1.9655777;-4.59775;0.53333;-0.87414855;2.763593;4.8379693;0.08642968;-4.4509254;-4.840006;2.5279994;-0.057728544;-2.425146;2.2679427;1.0809194;-1.2227333;-2.5445535;0.10265785;-2.590949;-1.0660697;2.2458003;3.152362;3.8019814;-0.9878322;1.2531054;0.39298782;-2.4668107;0.6522036;-0.45930913;2.022635;-3.5850854;1.3124855;0.88332605;-1.8809032;1.3057113;1.3295878;-3.7602742;-2.47049;-1.7127192;-2.8693936;-1.4056156;-2.0407128;3.2341669;-2.4443967;-0.8852922;6.284599;-0.21254185;-0.31731611;0.8673291;-1.9214001;2.2068698;-2.219761
processed_data\train\Sesameseeds\23.jpg;Sesameseeds;37.68271;-2.349363;-15.497059;17.801596;-0.59387195;11.688365;3.338309;11.650951;17.210392;0.284702;2.0214355;-2.6380138;-0.5097549;4.7581916;-1.903268;1.1107049;-4.972596;-5.8501263;0.8989773;-2.0193202;-3.8642063;-1.007555;-2.3857641;-0.059345864;1.2169034;-4.206713;0.48183593;-0.8662424;-4.6506767;0.89083314;-2.60794;-0.74992496;-1.9284452;-1.7362454;-2.6110733;-0.9084951;-6.6500964;4.6094956;1.4906945;3.2815554;3.9296339;-1.6981848;2.6647668;0.40300214;0.4492668;4.125547;2.722799;0.0073534288;-2.0216558;-0.58098793;0.9414459;-0.4217806;-7.153947;-0.2520977;-0.6347232;-4.2749915;-2.600028;-0.5102946;3.606062;0.12877047;6.239053;0.36271828;2.454587;-3.3179016;2.3866575;6.342669;-0.82478017;0.29786423;4.73676;-0.9608087;2.6149566;3.2109542;2.82415;4.3388414;-1.1416982;5.770433;-5.8602962;-0.88054746;0.0056258375;-3.4553547;3.0065286;-0.806251;2.6824598;1.1271938;2.9381437;2.101974;0.90672624;1.8850149;5.865965;1.7656673;-3.3046503;1.9433026;-2.856652;5.0333414;2.2187753;-7.4658265;-0.38329473;-2.9011695;-3.7544155;-2.557748;-2.3030784;-0.4806669;-2.8822732;1.7788869;4.6520996;1.4266917;-2.4870594;-1.3208845;1.751284;1.1131189;-1.0918607;-0.7912794;0.6337174;-3.070185;-1.0936438;-4.484303;-1.9928949;0.024118692;-1.1262281;-5.851043;0.55376536;1.6080095;-7.0082746;-1.0583192;-4.704366;-0.40338853;5.7638097;-0.29513612;-0.43203434;-6.8593354;1.4309078;-2.9935882;0.70064116;-4.209413;-3.1776314;-2.793625;-1.1109735;-3.7158372;-1.9847217;-0.58802193;-2.55917;-2.499535;0.19290152;-3.7346766;-1.9470628;0.29949293;-2.7069778;-2.2882674;-2.8665473;2.9507968;-4.559229;-3.9427016;4.6903768;0.89150995;-1.2702776;3.2272217;-0.5126469;0.6444516;1.2721094;2.377898;0.2982928;0.24375002;3.478428;4.2707925;0.19903594;2.580695;1.0816656;-8.7146435;0.5939409;0.56074035;3.9621131;-0.31541833;3.0616584;2.164309;2.8464727;-3.9501266;3.8058107;0.59566885;1.111171;1.9011977;-0.9422051;-3.8620765;-4.046131;-4.137144;-0.48204052;-0.21262328;-1.7964087;-1.7240086;-3.2733243;4.8311677;1.1831214;1.3548414;3.8196392;-2.3744528;-2.0184526;-2.5561872;4.1641483;3.1732821;0.050739784;-0.41749555
processed_data\train\Sesameseeds\129.jpg;Sesameseeds;50.44631;0.7152569;-13.939102;12.106972;-11.384731;2.5754201;-2.191353;7.3198695;-4.216111;0.169866;-1.4699464;-1.6213387;-2.3314545;-1.4392731;9.002882;3.6640732;-1.9521981;3.9176824;-4.185125;-3.3072686;-1.1292176;0.92291135;0.5696715;-4.008612;-4.7518525;-1.670745;1.033123;3.077183;-2.5035236;-0.42216456;-2.0173204;-3.0471046;5.74174;2.2448435;-1.6218959;-0.8089667;0.718123;-1.5956976;4.4262643;1.358937;-0.09066561;2.8448517;-3.8395793;-5.5057693;-3.1541212;-1.0127524;-7.8764286;4.162756;1.0811678;4.344712;3.0759041;-1.212984;1.8359929;2.5938451;-0.8198112;-3.617343;1.2241124;-2.9168794;-2.8217764;-5.1245112;-1.9191731;1.3127522;-0.062948376;-2.8903334;2.043272;-4.648692;-2.8922992;-4.12787;0.20362626;-1.2981172;-5.9209595;1.8748481;-4.2862716;-0.24304101;-0.97402817;-3.6181846;-2.8799455;-1.0898695;1.2854781;-3.8432968;0.027018178;-5.6612487;-1.2448343;1.7959664;0.4779693;-1.241506;-5.1230083;1.6273797;-1.585329;1.0279578;0.22202213;0.19746271;2.2602022;-0.81969625;1.0103807;0.43195078;0.6700511;-2.1693459;-1.7303854;2.8161747;-2.4120798;-2.2489731;3.1789255;-1.550891;-1.0172063;-3.4133852;-0.025973773;-0.6420126;-0.9649234;-4.0398026;1.8160009;0.8501693;-0.5968472;0.22249325;-0.8927771;0.19781117;4.1613774;3.0268168;4.9927773;5.971149;0.52161133;-3.2065098;2.8963583;2.834474;-0.90671337;3.7617307;2.628787;2.75903;-0.40324453;-0.02511762;-0.05282895;1.4763286;-0.7597026;-1.9175181;1.2369226;1.022487;2.1189196;-4.3664665;0.024343291;0.03141497;2.8549151;-2.423696;2.7811694;-0.5989167;-3.7652493;0.40465784;0.56660223;-5.5553417;2.2655542;2.735211;4.0548034;2.4906745;-1.1039625;5.706622;5.5192585;-1.1917621;-3.7651424;-0.19426154;-3.3544536;2.2471385;0.26823926;-3.4270544;-1.575966;1.2916431;1.4852301;0.42988083;1.5710585;-0.2332208;1.1908685;2.5146673;-4.1514606;-0.3742538;-7.890863;1.8406348;1.1228414;4.4610386;-1.7848244;2.0844524;-0.36690515;-0.5213149;-1.2130827;-0.8562971;3.9535735;-1.8768823;1.8307873;0.6039079;-2.0702314;0.07310469;3.826561;0.25214443;1.9303238;-1.823868;1.6099395;0.3033961;3.9739733;1.7478001;-0.4288442;0.36367294;0.4206213;3.3556783
processed_data\train\Sesameseeds\141.jpg;Sesameseeds;67.91965;-6.002136;-9.444265;-7.9867353;3.616013;-8.267897;4.170016;-2.7001557;-4.437104;-5.9555492;-6.8433766;0.48182234;0.7503581;-1.6170114;-0.8947638;3.0796282;-0.31320232;-0.98968595;1.7334961;-4.680716;4.506246;1.0266382;-0.02458743;3.1984107;4.237717;2.7207236;0.5030503;-3.0865383;3.2606635;2.153221;4.2393513;0.77790266;-1.401854;3.5000348;1.288461;3.4052052;2.754049;0.26641878;1.1784061;-2.17718;3.2989366;-1.8589296;-0.65933007;-1.7755249;3.6528797;-0.7532984;4.840138;-1.9928632;-1.7077211;6.565781;1.8513823;-0.97079813;-0.16369417;-8.337616;2.3077626;1.8804524;-0.8348946;1.9734386;2.3503675;-0.27540046;1.2644408;3.596376;1.5521137;-3.6637716;-0.78462565;1.0879437;1.5341152;-0.031902764;-2.918671;-0.43295872;1.8308433;-2.623974;0.9515791;-2.825624;-1.223018;2.3928351;-3.404522;2.3526242;-0.69583523;-2.0105493;-3.4363132;1.3995508;1.3365896;-5.0229397;-1.4926085;-3.0952857;1.7556621;2.3207693;2.6834235;-0.08444586;-2.621571;3.579449;0.12333259;2.7390752;-1.1172009;0.525321;4.400343;3.6164153;-3.9589798;-4.0742807;2.666361;0.30953193;1.5578933;2.0141857;0.49385116;-1.2110295;0.6840008;1.8883227;3.5138574;-2.4039783;3.6267047;-3.0676918;2.8691294;3.7751079;1.3422455;-1.0701092;-0.46164098;0.085475594;1.1383528;2.1271074;1.5197414;1.566037;-2.6171193;1.6939907;-4.707043;-2.967071;-1.091439;1.5284312;-1.457596;-1.4013811;0.7166373;-1.319868;2.0042245;-0.84202874;4.2395897;-0.09464812;2.6116695;-3.499886;5.1943545;2.439347;3.2353108;3.5509837;0.01673932;-3.4693122;-2.0883539;0.0460066;-2.326168;-0.80413646;4.391004;2.612356;-1.0999291;-5.3947062;0.586664;2.9960966;-0.58074814;1.737818;-1.1147199;-1.2785141;5.934247;-3.406605;-1.7550589;-2.6573553;0.7557349;-4.383912;7.882462;-0.67246354;-1.8063531;3.6490614;-1.1521807;-0.18607688;0.7906326;-2.722656;1.6935021;0.5353142;-3.359651;4.4203334;-3.0382195;2.9353962;-0.41441593;1.3885978;-2.4231336;0.81900877;-2.063357;-1.4252253;-1.8484417;1.0399075;-1.50788;2.4890232;-0.3596202;-2.0934772;-0.12485968;-0.7189283;1.6636833;-2.961234;1.4415528;-5.4241843;0.81670934;-3.0964646;5.0424995;2.3523722
